District/Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,0,0,0,0,0,0,0,0,0,0,0,(b),0,(d),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.05,0.05,0.05,0,0,0.07
Pathankot,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0.3,0.11,0.13,0.16,0.5,0.16,1.56,1.38,0.64,1,1,0.29,0.29,0.34,0.98,0.37,0.12,0.26,0.72,0.88,1.38,1.42,1.27,1.31,1.65,1.73,4.37,5.52,4.86,5.13,4.39,3.34,3.22,4.5,4.93,4.52
Tarn Taran,0,0,0,0,0,0,0,0,0,0,0.54,0.65,0.67,0.74,0,1.53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.04,0.03,0.07,0,0,0.08
Jalandhar,0,0,0,0,0,0,0,0,0,0,0,(b),0,(b),0,0,0,0,0,0,0.04,0,0,0,0.1,0.47,0.14,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.5,0.14,0.27,0.3,0.4,0.32,0.72
SBS Nagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(b),(b),0.11,0.02,0,0,0.04
Rupnagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0.03,0.3,0,0,0.14
SAS Nagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,0,0,0,0,0,0,0,0,0.51,0.34,0.54,0.65,1.34,1.49,2,1.53,0.75,0,0,0.04,0.11,(d),0,0.07,0.15,0.7,0.83,1.9,0,0.68,0.51,0.56,2.08,6.58,2.42,1.4,0.5,0.09,0.16,1,2.72,2.45,1.59,1.99,1.12,1.16,2.07,2.16,1.91,1.17,1.69,2.3,2.86,2.57,3.06
Ferozepur,0,0,0,0,0,0,0,0.5,0.51,49.13,56.61,63.84,69.37,80.5,77.9,105.55,98.25,86.59,67.62,45.77,50.18,49.49,37.17,27.47,30.8,67.63,73.97,62.81,57.7,76.67,68.38,83.81,68.26,56.86,39.59,41.02,36,31.17,14.08,24.53,25.14,23.68,29.02,30.06,27.82,29.22,35.88,33.12,36.16,27.49,57.33,48.01,45.17,44.46,47.42
Fazilka,58.7,45.1,63.3,59.29,58.79,54.57,20.5,41.9,51.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,1.3,0.9,1.2,1.05,1.4,1.19,1.7,6.3,6.29,7.31,8.77,9.09,11.79,13.92,16.87,21.95,17.45,9.74,8.18,3.21,10.03,3.69,4.24,2.86,5.83,22.75,27.26,99.04,86.1,131.91,136.75,106.53,141.06,118.35,107.82,89.1,72.84,73.01,33.74,62.13,56.9,54.84,62.3,68.55,60.32,54.4,54.2,56.16,50.45,38.32,NA,NA,NA,NA,NA
Sri Muktsar Sahib,21.1,19.3,20.8,23.31,27.9,23.12,5.9,36.5,44.88,50.83,38.31,55.09,65.93,79.59,78.86,99.7,88.81,70.39,42.08,31.72,43.89,32.67,25.22,14.92,1.86,67.87,6.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moga,0.8,0.7,0.1,0.2,0,0,0.2,0.6,1.36,1.53,0.76,1.51,2.46,5.49,4.68,4.58,3.82,1.98,0.69,0.21,0.91,0.9,1.06,0.71,23.95,6.01,23.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathinda,15.2,65.6,69.5,77.78,83.1,80.75,2,84,85,97.75,96.24,102.23,110.25,119.2,109.6,121.66,107.21,93.78,63.28,52.46,57.77,43.81,37.93,24.76,42.76,79.5,79.11,77.16,67.42,90.3,156.64,125.38,153.12,119.01,124.64,116.42,93.26,80.99,49.15,73.84,74.03,65.08,59.65,68.79,65.35,48.19,42.2,40.5,31.14,20.43,31.7,25.11,24.84,26.01,21.82
Mansa,11.1,38.5,44.5,39.17,38.64,44.2,13.1,42.6,46.41,53.55,57.04,58.65,54.98,61.34,73.04,66.89,59.24,55.13,37.49,25.42,27.2,23.93,20.34,8.49,23.86,38.45,32.24,35,29.2,53.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sangrur,0.4,1.6,2.5,2.7,3.7,4.42,2.2,8.2,7.48,6.63,4.91,5.36,9.07,7.55,8.99,8.18,8.49,7.64,2.61,3.18,3.38,2.06,2.04,1.81,4.05,6.33,21.28,5.38,5.2,20.96,16.55,15.87,29.26,40.11,24.35,16.52,9.59,6.66,9.09,18.43,20.26,15.53,9.23,8.88,6.43,2.85,4.23,2.88,1.22,0.69,0.98,1.31,1.26,0.12,1.15
Barnala,0.6,1.2,1.2,1.5,2,2.38,0.9,4.9,5.95,4.93,7.06,6.44,8.16,9.14,13.25,5.46,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patiala,0,0,0.1,0.2,0.8,0.68,0.1,0,0,0.51,0.54,0,0.67,0.74,0.67,0,0,0,0,0,0.08,(d),0,0,0,0,0.23,0,0,0.33,0.52,0.69,0.87,2.98,0.59,0.05,0,0,0.34,1.05,1.9,1.8,0.89,1.95,1.50.,2.02,2.75,2.16,2.74,1.6,3.31,4.09,4.7,4.56,5.13
Fatehgarh Sahib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,109.2,172.9,203.2,205.2,216.33,211.31,46.6,225.5,250.58,272.5,271.3,303.5,334.7,379.7,385.8,437.03,384.02,325.2,221.9,162.3,193.7,156.6,128.1,81.59,133.52,291.27,265.8,281.9,246.6,375.06,379.6,333.1,394.9,345.3,299.8,264.6,212.4,192.6,107.4,182.3,182.3,164.6,163.9,181.8,162.7,142.2,146.9,141.8,129.4,94.36,98.84,84.78,83.74,82.9,84.15
